Current learning rate: 0.1
Epoch: [1][130/383]	Loss 0.2347 (0.2412)	Accuracy 36.719 (35.991)
Epoch: [1][140/383]	Loss 0.2503 (0.2412)	Accuracy 33.594 (36.026)
Epoch: [1][150/383]	Loss 0.2254 (0.2407)	Accuracy 42.188 (36.051)
Epoch: [1][160/383]	Loss 0.2277 (0.2403)	Accuracy 36.719 (36.146)
Epoch: [1][170/383]	Loss 0.2534 (0.2399)	Accuracy 33.594 (36.148)
Epoch: [1][180/383]	Loss 0.2324 (0.2401)	Accuracy 39.062 (36.102)
Epoch: [1][190/383]	Loss 0.2254 (0.2398)	Accuracy 39.844 (36.158)
Epoch: [1][200/383]	Loss 0.2317 (0.2397)	Accuracy 34.375 (36.105)
Epoch: [1][210/383]	Loss 0.2373 (0.2393)	Accuracy 34.375 (36.215)
Epoch: [1][220/383]	Loss 0.2606 (0.2394)	Accuracy 25.781 (36.192)
Epoch: [1][230/383]	Loss 0.2401 (0.2393)	Accuracy 35.156 (36.269)
Epoch: [1][240/383]	Loss 0.2327 (0.2394)	Accuracy 38.281 (36.268)
Epoch: [1][250/383]	Loss 0.2374 (0.2394)	Accuracy 35.938 (36.202)
Epoch: [1][260/383]	Loss 0.2217 (0.2393)	Accuracy 39.844 (36.234)
Epoch: [1][270/383]	Loss 0.2349 (0.2390)	Accuracy 35.156 (36.260)
Epoch: [1][280/383]	Loss 0.2148 (0.2386)	Accuracy 42.188 (36.316)
Epoch: [1][290/383]	Loss 0.2378 (0.2383)	Accuracy 42.188 (36.346)
Epoch: [1][300/383]	Loss 0.2171 (0.2381)	Accuracy 40.625 (36.361)
Epoch: [1][310/383]	Loss 0.2388 (0.2380)	Accuracy 36.719 (36.347)
Epoch: [1][320/383]	Loss 0.2268 (0.2378)	Accuracy 46.094 (36.366)
Epoch: [1][330/383]	Loss 0.2240 (0.2373)	Accuracy 40.625 (36.511)
Epoch: [1][340/383]	Loss 0.2205 (0.2371)	Accuracy 42.969 (36.570)
Epoch: [1][350/383]	Loss 0.2324 (0.2368)	Accuracy 35.156 (36.612)
Epoch: [1][360/383]	Loss 0.2169 (0.2364)	Accuracy 42.188 (36.753)
Epoch: [1][370/383]	Loss 0.2483 (0.2364)	Accuracy 35.938 (36.767)
Epoch: [1][380/383]	Loss 0.2325 (0.2364)	Accuracy 39.062 (36.780)
Test: [  0/164]	Loss 1.2983 (1.2983)	Accuracy 48.438 (48.438)
Test: [ 10/164]	Loss 0.8469 (1.0722)	Accuracy 70.312 (56.179)
Test: [ 20/164]	Loss 1.2738 (1.0929)	Accuracy 47.656 (56.659)
Test: [ 30/164]	Loss 2.5688 (1.4138)	Accuracy 12.500 (48.059)
Test: [ 40/164]	Loss 1.5708 (1.4872)	Accuracy 42.969 (45.713)
Test: [ 50/164]	Loss 1.9724 (1.5678)	Accuracy 14.062 (41.820)
Test: [ 60/164]	Loss 1.7618 (1.6110)	Accuracy 24.219 (39.293)
Test: [ 70/164]	Loss 1.2035 (1.6291)	Accuracy 54.688 (37.412)
Test: [ 80/164]	Loss 1.3514 (1.5652)	Accuracy 39.844 (40.123)
Test: [ 90/164]	Loss 1.3032 (1.5313)	Accuracy 51.562 (40.968)
Test: [100/164]	Loss 1.2135 (1.5167)	Accuracy 50.000 (41.445)
Test: [110/164]	Loss 1.2664 (1.4835)	Accuracy 53.906 (43.039)
Test: [120/164]	Loss 1.7589 (1.4757)	Accuracy 41.406 (43.795)
Test: [130/164]	Loss 1.7518 (1.5270)	Accuracy 32.812 (42.116)
Test: [140/164]	Loss 2.6386 (1.5806)	Accuracy  8.594 (40.193)
Test: [150/164]	Loss 2.1601 (1.6076)	Accuracy  7.812 (38.369)
Test: [160/164]	Loss 2.3871 (1.6610)	Accuracy  7.812 (36.253)
 * Accuracy 35.775
Current best accuracy: 35.77452850341797
129.00050926208496
Current learning rate: 0.1
Epoch: [2][  0/383]	Loss 0.2282 (0.2282)	Accuracy 37.500 (37.500)
Epoch: [2][ 10/383]	Loss 0.2250 (0.2283)	Accuracy 38.281 (38.494)
Epoch: [2][ 20/383]	Loss 0.2463 (0.2291)	Accuracy 39.062 (37.798)
Epoch: [2][ 30/383]	Loss 0.2333 (0.2268)	Accuracy 42.969 (39.012)
Epoch: [2][ 40/383]	Loss 0.2083 (0.2257)	Accuracy 46.094 (40.015)
Epoch: [2][ 50/383]	Loss 0.2146 (0.2248)	Accuracy 40.625 (40.074)
Epoch: [2][ 60/383]	Loss 0.2126 (0.2245)	Accuracy 46.875 (40.190)
Epoch: [2][ 70/383]	Loss 0.2033 (0.2235)	Accuracy 47.656 (40.361)
Epoch: [2][ 80/383]	Loss 0.2247 (0.2222)	Accuracy 37.500 (40.770)
Epoch: [2][ 90/383]	Loss 0.2234 (0.2222)	Accuracy 37.500 (40.788)
Epoch: [2][100/383]	Loss 0.2148 (0.2223)	Accuracy 42.969 (40.718)
Epoch: [2][110/383]	Loss 0.2357 (0.2226)	Accuracy 35.156 (40.688)
Epoch: [2][120/383]	Loss 0.2221 (0.2225)	Accuracy 36.719 (40.722)
Epoch: [2][130/383]	Loss 0.2203 (0.2228)	Accuracy 33.594 (40.589)
Epoch: [2][140/383]	Loss 0.2330 (0.2230)	Accuracy 39.844 (40.730)
Epoch: [2][150/383]	Loss 0.2019 (0.2229)	Accuracy 46.094 (40.816)
Epoch: [2][160/383]	Loss 0.2294 (0.2229)	Accuracy 35.156 (40.829)
